date_key,full_date,year,quarter,month,month_name,day
159,2017-04-09,2017,2,4,April,9
160,2017-04-10,2017,2,4,April,10
161,2017-04-11,2017,2,4,April,11
162,2017-04-12,2017,2,4,April,12
163,2017-04-13,2017,2,4,April,13
164,2017-04-14,2017,2,4,April,14
165,2017-04-15,2017,2,4,April,15
166,2017-04-16,2017,2,4,April,16
167,2017-04-17,2017,2,4,April,17
168,2017-04-18,2017,2,4,April,18
169,2017-04-19,2017,2,4,April,19
170,2017-04-20,2017,2,4,April,20
171,2017-04-21,2017,2,4,April,21
172,2017-04-22,2017,2,4,April,22
173,2017-04-23,2017,2,4,April,23
174,2017-04-24,2017,2,4,April,24
175,2017-04-25,2017,2,4,April,25
176,2017-04-26,2017,2,4,April,26
177,2017-04-27,2017,2,4,April,27
178,2017-04-28,2017,2,4,April,28
179,2017-04-29,2017,2,4,April,29
180,2017-04-30,2017,2,4,April,30
181,2017-05-01,2017,2,5,May,1
182,2017-05-02,2017,2,5,May,2
183,2017-05-03,2017,2,5,May,3
184,2017-05-04,2017,2,5,May,4
185,2017-05-05,2017,2,5,May,5
186,2017-05-06,2017,2,5,May,6
187,2017-05-07,2017,2,5,May,7
188,2017-05-08,2017,2,5,May,8
189,2017-05-09,2017,2,5,May,9
190,2017-05-10,2017,2,5,May,10
191,2017-05-11,2017,2,5,May,11
192,2017-05-12,2017,2,5,May,12
193,2017-05-13,2017,2,5,May,13
194,2017-05-14,2017,2,5,May,14
195,2017-05-15,2017,2,5,May,15
196,2017-05-16,2017,2,5,May,16
197,2017-05-17,2017,2,5,May,17
198,2017-05-18,2017,2,5,May,18
199,2017-05-19,2017,2,5,May,19
200,2017-05-20,2017,2,5,May,20
201,2017-05-21,2017,2,5,May,21
202,2017-05-22,2017,2,5,May,22
203,2017-05-23,2017,2,5,May,23
204,2017-05-24,2017,2,5,May,24
205,2017-05-25,2017,2,5,May,25
206,2017-05-26,2017,2,5,May,26
207,2017-05-27,2017,2,5,May,27
208,2017-05-28,2017,2,5,May,28
209,2017-05-29,2017,2,5,May,29
210,2017-05-30,2017,2,5,May,30
211,2017-05-31,2017,2,5,May,31
212,2017-06-01,2017,2,6,June,1
213,2017-06-02,2017,2,6,June,2
214,2017-06-03,2017,2,6,June,3
215,2017-06-04,2017,2,6,June,4
216,2017-06-05,2017,2,6,June,5
217,2017-06-06,2017,2,6,June,6
218,2017-06-07,2017,2,6,June,7
219,2017-06-08,2017,2,6,June,8
220,2017-06-09,2017,2,6,June,9
221,2017-06-10,2017,2,6,June,10
222,2017-06-11,2017,2,6,June,11
223,2017-06-12,2017,2,6,June,12
224,2017-06-13,2017,2,6,June,13
225,2017-06-14,2017,2,6,June,14
226,2017-06-15,2017,2,6,June,15
227,2017-06-16,2017,2,6,June,16
228,2017-06-17,2017,2,6,June,17
229,2017-06-18,2017,2,6,June,18
230,2017-06-19,2017,2,6,June,19
231,2017-06-20,2017,2,6,June,20
232,2017-06-21,2017,2,6,June,21
233,2017-06-22,2017,2,6,June,22
234,2017-06-23,2017,2,6,June,23
235,2017-06-24,2017,2,6,June,24
236,2017-06-25,2017,2,6,June,25
237,2017-06-26,2017,2,6,June,26
238,2017-06-27,2017,2,6,June,27
239,2017-06-28,2017,2,6,June,28
240,2017-06-29,2017,2,6,June,29
241,2017-06-30,2017,2,6,June,30
242,2017-07-01,2017,3,7,July,1
243,2017-07-02,2017,3,7,July,2
244,2017-07-03,2017,3,7,July,3
245,2017-07-04,2017,3,7,July,4
246,2017-07-05,2017,3,7,July,5
247,2017-07-06,2017,3,7,July,6
248,2017-07-07,2017,3,7,July,7
249,2017-07-08,2017,3,7,July,8
250,2017-07-09,2017,3,7,July,9
251,2017-07-10,2017,3,7,July,10
252,2017-07-11,2017,3,7,July,11
253,2017-07-12,2017,3,7,July,12
254,2017-07-13,2017,3,7,July,13
255,2017-07-14,2017,3,7,July,14
256,2017-07-15,2017,3,7,July,15
257,2017-07-16,2017,3,7,July,16
258,2017-07-17,2017,3,7,July,17
259,2017-07-18,2017,3,7,July,18
260,2017-07-19,2017,3,7,July,19
261,2017-07-20,2017,3,7,July,20
262,2017-07-21,2017,3,7,July,21
263,2017-07-22,2017,3,7,July,22
264,2017-07-23,2017,3,7,July,23
265,2017-07-24,2017,3,7,July,24
266,2017-07-25,2017,3,7,July,25
267,2017-07-26,2017,3,7,July,26
268,2017-07-27,2017,3,7,July,27
269,2017-07-28,2017,3,7,July,28
270,2017-07-29,2017,3,7,July,29
271,2017-07-30,2017,3,7,July,30
272,2017-07-31,2017,3,7,July,31
273,2017-08-01,2017,3,8,August,1
274,2017-08-02,2017,3,8,August,2
275,2017-08-03,2017,3,8,August,3
276,2017-08-04,2017,3,8,August,4
277,2017-08-05,2017,3,8,August,5
278,2017-08-06,2017,3,8,August,6
279,2017-08-07,2017,3,8,August,7
280,2017-08-08,2017,3,8,August,8
281,2017-08-09,2017,3,8,August,9
282,2017-08-10,2017,3,8,August,10
283,2017-08-11,2017,3,8,August,11
284,2017-08-12,2017,3,8,August,12
285,2017-08-13,2017,3,8,August,13
286,2017-08-14,2017,3,8,August,14
287,2017-08-15,2017,3,8,August,15
288,2017-08-16,2017,3,8,August,16
289,2017-08-17,2017,3,8,August,17
290,2017-08-18,2017,3,8,August,18
291,2017-08-19,2017,3,8,August,19
292,2017-08-20,2017,3,8,August,20
293,2017-08-21,2017,3,8,August,21
294,2017-08-22,2017,3,8,August,22
295,2017-08-23,2017,3,8,August,23
296,2017-08-24,2017,3,8,August,24
297,2017-08-25,2017,3,8,August,25
298,2017-08-26,2017,3,8,August,26
299,2017-08-27,2017,3,8,August,27
300,2017-08-28,2017,3,8,August,28
301,2017-08-29,2017,3,8,August,29
302,2017-08-30,2017,3,8,August,30
303,2017-08-31,2017,3,8,August,31
304,2017-09-01,2017,3,9,September,1
305,2017-09-02,2017,3,9,September,2
306,2017-09-03,2017,3,9,September,3
307,2017-09-04,2017,3,9,September,4
308,2017-09-05,2017,3,9,September,5
309,2017-09-06,2017,3,9,September,6
310,2017-09-07,2017,3,9,September,7
311,2017-09-08,2017,3,9,September,8
312,2017-09-09,2017,3,9,September,9
313,2017-09-10,2017,3,9,September,10
314,2017-09-11,2017,3,9,September,11
315,2017-09-12,2017,3,9,September,12
316,2017-09-13,2017,3,9,September,13
317,2017-09-14,2017,3,9,September,14
318,2017-09-15,2017,3,9,September,15
319,2017-09-16,2017,3,9,September,16
320,2017-09-17,2017,3,9,September,17
321,2017-09-18,2017,3,9,September,18
322,2017-09-19,2017,3,9,September,19
323,2017-09-20,2017,3,9,September,20
324,2017-09-21,2017,3,9,September,21
325,2017-09-22,2017,3,9,September,22
326,2017-09-23,2017,3,9,September,23
327,2017-09-24,2017,3,9,September,24
328,2017-09-25,2017,3,9,September,25
329,2017-09-26,2017,3,9,September,26
330,2017-09-27,2017,3,9,September,27
331,2017-09-28,2017,3,9,September,28
332,2017-09-29,2017,3,9,September,29
333,2017-09-30,2017,3,9,September,30
334,2017-10-01,2017,4,10,October,1
335,2017-10-02,2017,4,10,October,2
336,2017-10-03,2017,4,10,October,3
337,2017-10-04,2017,4,10,October,4
338,2017-10-05,2017,4,10,October,5
339,2017-10-06,2017,4,10,October,6
340,2017-10-07,2017,4,10,October,7
341,2017-10-08,2017,4,10,October,8
342,2017-10-09,2017,4,10,October,9
343,2017-10-10,2017,4,10,October,10
344,2017-10-11,2017,4,10,October,11
345,2017-10-12,2017,4,10,October,12
346,2017-10-13,2017,4,10,October,13
347,2017-10-14,2017,4,10,October,14
348,2017-10-15,2017,4,10,October,15
349,2017-10-16,2017,4,10,October,16
350,2017-10-17,2017,4,10,October,17
351,2017-10-18,2017,4,10,October,18
352,2017-10-19,2017,4,10,October,19
353,2017-10-20,2017,4,10,October,20
354,2017-10-21,2017,4,10,October,21
355,2017-10-22,2017,4,10,October,22
356,2017-10-23,2017,4,10,October,23
357,2017-10-24,2017,4,10,October,24
358,2017-10-25,2017,4,10,October,25
359,2017-10-26,2017,4,10,October,26
360,2017-10-27,2017,4,10,October,27
361,2017-10-28,2017,4,10,October,28
362,2017-10-29,2017,4,10,October,29
363,2017-10-30,2017,4,10,October,30
364,2017-10-31,2017,4,10,October,31
365,2017-11-01,2017,4,11,November,1
366,2017-11-02,2017,4,11,November,2
367,2017-11-03,2017,4,11,November,3
368,2017-11-04,2017,4,11,November,4
369,2017-11-05,2017,4,11,November,5
370,2017-11-06,2017,4,11,November,6
371,2017-11-07,2017,4,11,November,7
372,2017-11-08,2017,4,11,November,8
373,2017-11-09,2017,4,11,November,9
374,2017-11-10,2017,4,11,November,10
375,2017-11-11,2017,4,11,November,11
376,2017-11-12,2017,4,11,November,12
377,2017-11-13,2017,4,11,November,13
378,2017-11-14,2017,4,11,November,14
379,2017-11-15,2017,4,11,November,15
380,2017-11-16,2017,4,11,November,16
381,2017-11-17,2017,4,11,November,17
382,2017-11-18,2017,4,11,November,18
383,2017-11-19,2017,4,11,November,19
384,2017-11-20,2017,4,11,November,20
385,2017-11-21,2017,4,11,November,21
386,2017-11-22,2017,4,11,November,22
387,2017-11-23,2017,4,11,November,23
388,2017-11-24,2017,4,11,November,24
389,2017-11-25,2017,4,11,November,25
390,2017-11-26,2017,4,11,November,26
391,2017-11-27,2017,4,11,November,27
392,2017-11-28,2017,4,11,November,28
393,2017-11-29,2017,4,11,November,29
394,2017-11-30,2017,4,11,November,30
395,2017-12-01,2017,4,12,December,1
396,2017-12-02,2017,4,12,December,2
397,2017-12-03,2017,4,12,December,3
398,2017-12-04,2017,4,12,December,4
399,2017-12-05,2017,4,12,December,5
400,2017-12-06,2017,4,12,December,6
401,2017-12-07,2017,4,12,December,7
402,2017-12-08,2017,4,12,December,8
403,2017-12-09,2017,4,12,December,9
404,2017-12-10,2017,4,12,December,10
405,2017-12-11,2017,4,12,December,11
406,2017-12-12,2017,4,12,December,12
407,2017-12-13,2017,4,12,December,13
408,2017-12-14,2017,4,12,December,14
409,2017-12-15,2017,4,12,December,15
410,2017-12-16,2017,4,12,December,16
411,2017-12-17,2017,4,12,December,17
412,2017-12-18,2017,4,12,December,18
413,2017-12-19,2017,4,12,December,19
414,2017-12-20,2017,4,12,December,20
415,2017-12-21,2017,4,12,December,21
416,2017-12-22,2017,4,12,December,22
417,2017-12-23,2017,4,12,December,23
418,2017-12-24,2017,4,12,December,24
419,2017-12-25,2017,4,12,December,25
420,2017-12-26,2017,4,12,December,26
421,2017-12-27,2017,4,12,December,27
422,2017-12-28,2017,4,12,December,28
423,2017-12-29,2017,4,12,December,29
424,2017-12-30,2017,4,12,December,30
425,2017-12-31,2017,4,12,December,31
426,2018-01-01,2018,1,1,January,1
427,2018-01-02,2018,1,1,January,2
428,2018-01-03,2018,1,1,January,3
429,2018-01-04,2018,1,1,January,4
430,2018-01-05,2018,1,1,January,5
431,2018-01-06,2018,1,1,January,6
432,2018-01-07,2018,1,1,January,7
433,2018-01-08,2018,1,1,January,8
434,2018-01-09,2018,1,1,January,9
435,2018-01-10,2018,1,1,January,10
436,2018-01-11,2018,1,1,January,11
437,2018-01-12,2018,1,1,January,12
438,2018-01-13,2018,1,1,January,13
439,2018-01-14,2018,1,1,January,14
440,2018-01-15,2018,1,1,January,15
441,2018-01-16,2018,1,1,January,16
442,2018-01-17,2018,1,1,January,17
443,2018-01-18,2018,1,1,January,18
444,2018-01-19,2018,1,1,January,19
445,2018-01-20,2018,1,1,January,20
446,2018-01-21,2018,1,1,January,21
447,2018-01-22,2018,1,1,January,22
448,2018-01-23,2018,1,1,January,23
449,2018-01-24,2018,1,1,January,24
450,2018-01-25,2018,1,1,January,25
451,2018-01-26,2018,1,1,January,26
452,2018-01-27,2018,1,1,January,27
453,2018-01-28,2018,1,1,January,28
454,2018-01-29,2018,1,1,January,29
455,2018-01-30,2018,1,1,January,30
456,2018-01-31,2018,1,1,January,31
457,2018-02-01,2018,1,2,February,1
458,2018-02-02,2018,1,2,February,2
459,2018-02-03,2018,1,2,February,3
460,2018-02-04,2018,1,2,February,4
461,2018-02-05,2018,1,2,February,5
462,2018-02-06,2018,1,2,February,6
463,2018-02-07,2018,1,2,February,7
464,2018-02-08,2018,1,2,February,8
465,2018-02-09,2018,1,2,February,9
466,2018-02-10,2018,1,2,February,10
467,2018-02-11,2018,1,2,February,11
468,2018-02-12,2018,1,2,February,12
469,2018-02-13,2018,1,2,February,13
470,2018-02-14,2018,1,2,February,14
471,2018-02-15,2018,1,2,February,15
472,2018-02-16,2018,1,2,February,16
473,2018-02-17,2018,1,2,February,17
474,2018-02-18,2018,1,2,February,18
475,2018-02-19,2018,1,2,February,19
476,2018-02-20,2018,1,2,February,20
477,2018-02-21,2018,1,2,February,21
478,2018-02-22,2018,1,2,February,22
479,2018-02-23,2018,1,2,February,23
480,2018-02-24,2018,1,2,February,24
481,2018-02-25,2018,1,2,February,25
482,2018-02-26,2018,1,2,February,26
483,2018-02-27,2018,1,2,February,27
484,2018-02-28,2018,1,2,February,28
485,2018-03-01,2018,1,3,March,1
486,2018-03-02,2018,1,3,March,2
487,2018-03-03,2018,1,3,March,3
488,2018-03-04,2018,1,3,March,4
489,2018-03-05,2018,1,3,March,5
490,2018-03-06,2018,1,3,March,6
491,2018-03-07,2018,1,3,March,7
492,2018-03-08,2018,1,3,March,8
493,2018-03-09,2018,1,3,March,9
494,2018-03-10,2018,1,3,March,10
495,2018-03-11,2018,1,3,March,11
496,2018-03-12,2018,1,3,March,12
497,2018-03-13,2018,1,3,March,13
498,2018-03-14,2018,1,3,March,14
499,2018-03-15,2018,1,3,March,15
500,2018-03-16,2018,1,3,March,16
501,2018-03-17,2018,1,3,March,17
502,2018-03-18,2018,1,3,March,18
503,2018-03-19,2018,1,3,March,19
504,2018-03-20,2018,1,3,March,20
505,2018-03-21,2018,1,3,March,21
506,2018-03-22,2018,1,3,March,22
507,2018-03-23,2018,1,3,March,23
508,2018-03-24,2018,1,3,March,24
509,2018-03-25,2018,1,3,March,25
510,2018-03-26,2018,1,3,March,26
511,2018-03-27,2018,1,3,March,27
512,2018-03-28,2018,1,3,March,28
513,2018-03-29,2018,1,3,March,29
514,2018-03-30,2018,1,3,March,30
515,2018-03-31,2018,1,3,March,31
516,2018-04-01,2018,2,4,April,1
517,2018-04-02,2018,2,4,April,2
518,2018-04-03,2018,2,4,April,3
519,2018-04-04,2018,2,4,April,4
520,2018-04-05,2018,2,4,April,5
521,2018-04-06,2018,2,4,April,6
522,2018-04-07,2018,2,4,April,7
523,2018-04-08,2018,2,4,April,8
524,2018-04-09,2018,2,4,April,9
525,2018-04-10,2018,2,4,April,10
526,2018-04-11,2018,2,4,April,11
527,2018-04-12,2018,2,4,April,12
528,2018-04-13,2018,2,4,April,13
529,2018-04-14,2018,2,4,April,14
530,2018-04-15,2018,2,4,April,15
